Oct 28, 2017 11:32:04 AM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Dead_lock*,8171 (11%),5600,420,1906,153,83,9,3,3,2
2nd,Scorpion*,7153 (10%),4550,420,1801,146,210,25,3,1,0
3rd,TeamStrikers*,6502 (9%),4300,280,1720,133,66,3,2,3,0
4th,RuhSeekers*,5058 (7%),3650,140,1179,44,44,0,1,0,0
5th,Pentacode*,4984 (7%),4300,0,575,21,83,5,0,1,0
6th,HashSteel*,4789 (7%),4000,0,607,37,144,0,0,0,2
7th,SabraRonins*,4442 (6%),3100,0,1287,27,28,0,0,0,0
8th,TransCoders*,4424 (6%),3200,0,1133,72,19,0,0,1,1
9th,CtrlAltDel*,4383 (6%),3800,0,551,12,19,0,0,1,1
10th,FinalRobotFirst*,4054 (6%),3700,0,297,0,58,0,0,0,0
11th,Insight*,4048 (6%),2800,0,828,87,246,87,0,0,1
12th,PeraXbot1*,3956 (5%),2400,0,1453,47,56,0,0,0,1
13th,Livezenbot*,3911 (5%),2750,0,1090,38,34,0,0,0,1
14th,NETCLOUDBot*,3529 (5%),2450,140,643,32,262,3,1,0,0
15th,Void0*,2799 (4%),1900,0,595,19,215,70,0,0,1
$
