Oct 28, 2017 2:13:56 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,TeamStrikers*,7052 (10%),4900,420,1514,120,98,0,3,1,0
2nd,TransCoders*,6148 (9%),4350,140,1494,121,43,0,1,2,1
3rd,PeraXbot*,5727 (8%),4150,140,1187,93,148,10,1,1,1
4th,SabraRonins*,5677 (8%),4400,0,1126,21,130,0,0,0,2
5th,HashSteel*,5633 (8%),4200,0,1334,72,28,0,0,2,1
6th,Scorpion*,5579 (8%),4100,140,1080,68,164,27,1,1,0
7th,NETCLOUD*,5262 (7%),3500,280,1251,119,113,0,2,0,0
8th,Dalek*,5134 (7%),3850,140,1042,34,58,10,1,0,1
9th,RuhSeekers*,4419 (6%),3150,0,1193,47,29,0,0,0,0
10th,Dead_lock*,4316 (6%),3300,0,863,27,126,0,0,0,2
11th,Void1*,4032 (6%),3000,0,938,36,58,0,0,1,1
12th,WSAD*,3747 (5%),3050,140,454,23,77,3,1,1,0
13th,CtrlAltDel*,3578 (5%),3100,0,337,3,122,16,0,1,1
14th,Pentacode*,2876 (4%),1650,0,170,3,960,93,0,0,0
15th,Insight*,2610 (4%),1800,0,579,1,158,71,0,0,0
$
