Oct 28, 2017 6:46:36 AM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,EchoBotBravo*,5953 (21%),2900,400,2304,321,28,0,5,1,0
2nd,CKBravo*,4492 (16%),2850,320,1159,140,24,0,4,2,0
3rd,Panzar01*,4396 (15%),2500,0,1447,126,307,16,0,5,2
4th,CKAlpha*,2774 (10%),2050,80,602,25,17,0,1,0,3
5th,Panzar02*,2740 (10%),1500,0,1012,47,181,0,0,1,1
6th,CKCharlie*,2582 (9%),1800,0,719,29,34,0,0,1,1
7th,Panzar03*,2166 (8%),1800,0,186,1,178,1,0,0,1
8th,FoxtrotBotBravo*,1963 (7%),1600,0,307,16,40,1,0,0,1
9th,DeltaBotBravo*,1384 (5%),1000,0,343,1,40,0,0,0,1
$
